threshold,total instances,total fails,explanation loss [%],average area
0.0,7966,0,0.0,1.0
0.10000000000000001,7966,519,6.52,0.96
0.20000000000000001,7966,868,10.9,0.87
0.30000000000000004,7966,1067,13.39,0.75
0.40000000000000002,7966,1264,15.87,0.61
0.5,7966,1695,21.28,0.47
0.60000000000000009,7966,2463,30.92,0.33
0.70000000000000007,7966,3443,43.22,0.2
0.80000000000000004,7966,4255,53.41,0.1
0.90000000000000002,7966,4847,60.85,0.03
1.0,7966,5071,63.66,0.0
1.1000000000000001,7966,5071,63.66,0.0
